timestamp,value,is_anomaly
1,0.0,0
2,153.0,0
3,159.0,0
4,188.0,0
5,116.0,0
6,137.0,0
7,214.0,0
8,246.0,0
9,175.0,0
10,196.0,0
11,232.0,0
12,203.0,0
13,208.0,0
14,245.0,0
15,235.0,0
16,193.0,0
17,160.0,0
18,99.0,0
19,66.0,0
20,50.0,0
21,40.0,0
22,37.0,0
23,59.0,0
24,68.0,0
25,74.0,0
26,88.0,0
27,213.0,0
28,165.0,0
29,309.0,0
30,182.0,0
31,221.0,0
32,196.0,0
33,152.0,0
34,144.0,0
35,226.0,0
36,267.0,0
37,238.0,0
38,264.0,0
39,282.0,0
40,333.0,0
41,148.0,0
42,122.0,0
43,99.0,0
44,71.0,0
45,48.0,0
46,49.0,0
47,54.0,0
48,111.0,0
49,170.0,0
50,83.0,0
51,107.0,0
52,247.0,0
53,152.0,0
54,278.0,0
55,206.0,0
56,161.0,0
57,132.0,0
58,141.0,0
59,297.0,0
60,219.0,0
61,261.0,0
62,288.0,0
63,283.0,0
64,421.0,0
65,172.0,0
66,182.0,0
67,83.0,0
68,77.0,0
69,63.0,0
70,51.0,0
71,61.0,0
72,116.0,0
73,134.0,0
74,138.0,0
75,253.0,0
76,188.0,0
77,167.0,0
78,142.0,0
79,166.0,0
80,185.0,0
81,237.0,0
82,181.0,0
83,265.0,0
84,260.0,0
85,263.0,0
86,355.0,0
87,257.0,0
88,186.0,0
89,194.0,0
90,111.0,0
91,65.0,0
92,49.0,0
93,44.0,0
94,48.0,0
95,49.0,0
96,56.0,0
97,62.0,0
98,212.0,0
99,181.0,0
100,292.0,0
101,219.0,0
102,186.0,0
103,198.0,0
104,174.0,0
105,187.0,0
106,272.0,0
107,198.0,0
108,177.0,0
109,277.0,0
110,216.0,0
111,328.0,0
112,230.0,0
113,163.0,0
114,109.0,0
115,80.0,0
116,51.0,0
117,52.0,0
118,41.0,0
119,40.0,0
120,113.0,0
121,130.0,0
122,139.0,0
123,156.0,0
124,159.0,0
125,121.0,0
126,130.0,0
127,139.0,0
128,155.0,0
129,125.0,0
130,134.0,0
131,142.0,0
132,203.0,0
133,189.0,0
134,162.0,0
135,326.0,0
136,158.0,0
137,184.0,0
138,109.0,0
139,97.0,0
140,76.0,0
141,61.0,0
142,46.0,0
143,52.0,0
